rank,node_or_cell,x,y,notes
1,"((59, 155), 440)",,,
2,"((44, 137), 407)",,,
3,"((18, 152), 386)",,,
4,"((86, 55), 366)",,,
5,"((65, 97), 364)",,,
6,"((42, 168), 363)",,,
7,"((124, 96), 361)",,,
8,"((95, 150), 340)",,,
9,"((17, 120), 271)",,,
10,"((21, 0), 261)",,,
