rank,node_or_cell,x,y,notes
1,"((71, 101), 582)",,,
2,"((60, 64), 528)",,,
3,"((97, 142), 510)",,,
4,"((83, 30), 501)",,,
5,"((15, 76), 470)",,,
6,"((111, 16), 466)",,,
7,"((97, 93), 445)",,,
8,"((109, 7), 441)",,,
9,"((45, 68), 437)",,,
10,"((107, 79), 412)",,,
