rank,node_or_cell,x,y,notes
1,"((5, 7), 801)",,,
2,"((75, 163), 801)",,,
3,"((52, 127), 620)",,,
4,"((23, 155), 539)",,,
5,"((124, 143), 505)",,,
6,"((93, 120), 484)",,,
7,"((23, 48), 457)",,,
8,"((94, 124), 435)",,,
9,"((94, 176), 417)",,,
10,"((36, 79), 393)",,,
