rank,node_or_cell,x,y,notes
1,"((76, 153), 801)",,,
2,"((4, 11), 801)",,,
3,"((44, 70), 494)",,,
4,"((30, 137), 448)",,,
5,"((43, 101), 417)",,,
6,"((7, 103), 416)",,,
7,"((17, 82), 401)",,,
8,"((122, 62), 398)",,,
9,"((40, 62), 383)",,,
10,"((47, 109), 378)",,,
