rank,node_or_cell,x,y,notes
1,"((72, 164), 801)",,,
2,"((41, 140), 510)",,,
3,"((114, 51), 473)",,,
4,"((103, 122), 463)",,,
5,"((30, 168), 429)",,,
6,"((49, 34), 391)",,,
7,"((12, 113), 387)",,,
8,"((71, 127), 377)",,,
9,"((71, 125), 373)",,,
10,"((96, 77), 354)",,,
