rank,node_or_cell,x,y,notes
1,"((16, 7), 801)",,,
2,"((60, 74), 784)",,,
3,"((74, 79), 542)",,,
4,"((111, 131), 486)",,,
5,"((90, 164), 452)",,,
6,"((9, 97), 431)",,,
7,"((110, 41), 423)",,,
8,"((104, 173), 412)",,,
9,"((120, 141), 407)",,,
10,"((7, 22), 401)",,,
